path,xPos,yPos,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,images.started,image.started,images.stopped,attentional.started,cross.started,mouse.started,attentional.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images\vehicle.jpg,0.5,-0.4,0,0,0,[0.49333333333333335],[-0.4],[1],[0],[0],[4.550808899999993],['cross'],0,0,0,9,0.06027389999999855,,0.041288399999999115,0.6016521999999895,5.514126400000009,5.545370999999989,6.010148700000002,0.5140068000000042,10.565991300000007,[0.49333333333333335],[-0.4],[1],[0],[0],[4.550808899999993],['cross'],,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
images\building.jpg,-0.1,0.4,1,1,0,[-0.1],[0.4033333333333333],[1],[0],[0],[1.468769299999991],['cross'],0,1,1,1,10.643006799999995,,10.625058899999999,11.076271999999989,16.064625000000007,16.06973339999999,16.576816000000008,0.514191100000005,18.050320499999998,[-0.1],[0.4033333333333333],[1],[0],[0],[1.468769299999991],['cross'],16.076209299999988,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
images\food.jpg,-0.2,0.2,2,2,0,[-0.19333333333333333],[0.205],[1],[0],[0],[1.0850342999999896],['cross'],0,2,2,3,18.110421400000007,,18.103603800000002,18.559977900000007,23.547419099999985,23.5535242,24.05999969999999,0.5130552999999907,25.14934629999999,[-0.19333333333333333],[0.205],[1],[0],[0],[1.0850342999999896],['cross'],23.560356600000006,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
images\person.jpg,-0.3,-0.1,3,3,0,[-0.29333333333333333],[-0.095],[1],[0],[0],[0.7998651999999993],['cross'],0,3,3,6,25.210609299999987,,25.195636199999996,25.660934499999996,30.664095299999985,30.669723199999993,31.160482900000005,0.5151171999999917,31.9651159,[-0.29333333333333333],[-0.095],[1],[0],[0],[0.7998651999999993],['cross'],,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
images\tool.jpg,-0.4,-0.3,4,4,0,[-0.39166666666666666],[-0.295],[1],[0],[0],[1.3837288999999942],['cross'],0,4,4,8,32.02721439999999,,32.0149605,32.4767368,37.4641321,37.46952569999999,37.977312299999994,0.4990387999999939,39.34895710000001,[-0.39166666666666666],[-0.295],[1],[0],[0],[1.3837288999999942],['cross'],37.47768640000001,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
images\animal.jpg,0,0.5,5,5,0,[-0.0033333333333333335],[0.495],[1],[0],[0],[2.4684556999999927],['cross'],0,5,5,0,39.40897369999999,,39.40078879999999,39.86260579999998,44.864386499999995,44.8689378,45.36034860000001,0.5143720000000087,47.83301739999999,[-0.0033333333333333335],[0.495],[1],[0],[0],[2.4684556999999927],['cross'],,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
images\furniture.jpg,0.2,0.1,6,6,0,[0.20666666666666667],[0.09833333333333333],[1],[0],[0],[0.8834118999999987],['cross'],0,6,6,4,47.8940418,,47.881400600000006,48.343713699999995,53.331665999999984,53.3370616,53.844203599999986,0.514339399999983,54.73211810000001,[0.20666666666666667],[0.09833333333333333],[1],[0],[0],[0.8834118999999987],['cross'],53.34469820000001,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
images\electronic.jpg,0.1,0.3,7,7,0,[0.11],[0.29833333333333334],[1],[0],[0],[0.8840707000000236],['cross'],0,7,7,2,54.7943343,,54.780427799999984,55.243402,60.231685699999986,60.2367414,60.744214699999986,0.5150184999999965,61.6325415,[0.11],[0.29833333333333334],[1],[0],[0],[0.8840707000000236],['cross'],60.24475859999998,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
images\sport.jpg,0.4,-0.2,8,8,0,[0.395],[-0.21],[1],[0],[0],[0.9369598999999766],['cross'],0,8,8,7,61.694350499999985,,61.680814199999986,62.14380750000001,67.1319346,67.13575449999999,67.64357290000001,0.5127481000000103,68.5832236,[0.395],[-0.21],[1],[0],[0],[0.9369598999999766],['cross'],67.14493060000001,463300,001,2025-05-18_10h42.42.667,untitled,2024.2.4,60.54177624728421,2025-05-18 10h42.49.720435 +0530,
"images
ature.jpg",0.3,0,9,9,0,,,,,,,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,
